console,console_common_name,game_title,category_1,category_2,multiplayer,core_name,console_dir,game_file,m3u,category_1_mgl,category_2_mgl,multiplayer_mgl,top_console_mgl,console_mgl,hash,download_url
GameGear,Game Gear,Sonic the Hedgehog: Triple Trouble,2D Platformer,,False,SMS,GameGear,"Sonic The Hedgehog - Triple Trouble (USA, Europe, Brazil).gg",,_Waian's Picks/_Top Games by Category/_2D Platformer/Sonic the Hedgehog Triple Trouble (Game Gear).mgl,,,_Waian's Picks/_Top Games by Console/_Game Gear/Sonic the Hedgehog Triple Trouble.mgl,_Waian's Picks/_All Games by Console/_Game Gear/Sonic the Hedgehog Triple Trouble.mgl,4965af7ffe60382ffa805710b7c8006419cc4ac4,
MegaDrive,Genesis,Shinobi III: Return of the Ninja Master,2D Platformer,2D Action Scroller,False,MegaDrive,MegaDrive,Shinobi III - Return of the Ninja Master (USA).md,,_Waian's Picks/_Top Games by Category/_2D Platformer/Shinobi III Return of the Ninja Master (Genesis).mgl,_Waian's Picks/_Top Games by Category/_2D Action Scroller/Shinobi III Return of the Ninja Master (Genesis).mgl,,_Waian's Picks/_Top Games by Console/_Genesis/Shinobi III Return of the Ninja Master.mgl,_Waian's Picks/_All Games by Console/_Genesis/Shinobi III Return of the Ninja Master.mgl,1e07d7998e3048fcfba4238ae96496460e91b3a5,
GAMEBOY,Game Boy,Gargoyle's Quest,Action Adventure,2D Action Scroller,False,Gameboy,GAMEBOY,"Gargoyle's Quest (USA, Europe).gb",,_Waian's Picks/_Top Games by Category/_Action Adventure/Gargoyle's Quest (Game Boy).mgl,_Waian's Picks/_Top Games by Category/_2D Action Scroller/Gargoyle's Quest (Game Boy).mgl,,_Waian's Picks/_Top Games by Console/_Game Boy/Gargoyle's Quest.mgl,_Waian's Picks/_All Games by Console/_Game Boy/Gargoyle's Quest.mgl,1da5834cd7cea711195cd8581614c5022da768b7,
NES,NES,Blaster Master,Action Adventure,2D Action Scroller,False,NES,NES,Blaster Master (U) .nes,,_Waian's Picks/_Top Games by Category/_Action Adventure/Blaster Master (NES).mgl,_Waian's Picks/_Top Games by Category/_2D Action Scroller/Blaster Master (NES).mgl,,_Waian's Picks/_Top Games by Console/_NES/Blaster Master.mgl,_Waian's Picks/_All Games by Console/_NES/Blaster Master.mgl,adb89b4923bb34805a39c141baf227849a27ce41,
SNES,SNES,Mega Man 7,2D Platformer,2D Action Scroller,False,SNES,SNES,Mega Man 7 (USA).sfc,,_Waian's Picks/_Top Games by Category/_2D Platformer/Mega Man 7 (SNES).mgl,_Waian's Picks/_Top Games by Category/_2D Action Scroller/Mega Man 7 (SNES).mgl,,_Waian's Picks/_Top Games by Console/_SNES/Mega Man 7.mgl,_Waian's Picks/_All Games by Console/_SNES/Mega Man 7.mgl,6e7c9c9dd397f771303ee4aec29d106b9f86c832,
MegaDrive,Genesis,Sonic 3D Blast,2D Platformer,3D Adventure,False,MegaDrive,MegaDrive,"Sonic 3D Blast (USA, Europe).md",,_Waian's Picks/_Top Games by Category/_2D Platformer/Sonic 3D Blast (Genesis).mgl,_Waian's Picks/_Top Games by Category/_3D Adventure/Sonic 3D Blast (Genesis).mgl,,_Waian's Picks/_Top Games by Console/_Genesis/Sonic 3D Blast.mgl,_Waian's Picks/_All Games by Console/_Genesis/Sonic 3D Blast.mgl,89957568386a5023d198ac2251ded9dfb2ab65e7,
PSX,PlayStation,Brave Fencer Musashi,Action Adventure,Adventure RPG,False,PSX,PSX,Brave Fencer Musashi (USA)/Brave Fencer Musashi (USA).chd,Brave Fencer Musashi (USA)/Brave Fencer Musashi (USA).m3u,_Waian's Picks/_Top Games by Category/_Action Adventure/Brave Fencer Musashi (PlayStation).mgl,_Waian's Picks/_Top Games by Category/_Adventure RPG/Brave Fencer Musashi (PlayStation).mgl,,_Waian's Picks/_Top Games by Console/_PlayStation/Brave Fencer Musashi.mgl,_Waian's Picks/_All Games by Console/_PlayStation/Brave Fencer Musashi.mgl,a2935078b0392355b6cbfb23545b4cb91cd223f8,
PSX,PlayStation,Parasite Eve,Action Adventure,Adventure RPG,False,PSX,PSX,Parasite Eve (USA)/Parasite Eve (USA) (Disc 1).chd,Parasite Eve (USA)/Parasite Eve (USA).m3u,_Waian's Picks/_Top Games by Category/_Action Adventure/Parasite Eve (PlayStation).mgl,_Waian's Picks/_Top Games by Category/_Adventure RPG/Parasite Eve (PlayStation).mgl,,_Waian's Picks/_Top Games by Console/_PlayStation/Parasite Eve.mgl,_Waian's Picks/_All Games by Console/_PlayStation/Parasite Eve.mgl,13f3e012c49cf9b0f0c35de9321407f80ad6e7ba,
PSX,PlayStation,Parasite Eve II,Action Adventure,Adventure RPG,False,PSX,PSX,"Parasite Eve II (USA, Canada)/Parasite Eve II (USA, Canada) (Disc 1).chd","Parasite Eve II (USA, Canada)/Parasite Eve II (USA, Canada).m3u",_Waian's Picks/_Top Games by Category/_Action Adventure/Parasite Eve II (PlayStation).mgl,_Waian's Picks/_Top Games by Category/_Adventure RPG/Parasite Eve II (PlayStation).mgl,,_Waian's Picks/_Top Games by Console/_PlayStation/Parasite Eve II.mgl,_Waian's Picks/_All Games by Console/_PlayStation/Parasite Eve II.mgl,9c3554d326a3626750f36497a52b60dad7f19584,
SNES,SNES,Illusion of Gaia,Action Adventure,Adventure RPG,False,SNES,SNES,Illusion of Gaia (USA).sfc,,_Waian's Picks/_Top Games by Category/_Action Adventure/Illusion of Gaia (SNES).mgl,_Waian's Picks/_Top Games by Category/_Adventure RPG/Illusion of Gaia (SNES).mgl,,_Waian's Picks/_Top Games by Console/_SNES/Illusion of Gaia.mgl,_Waian's Picks/_All Games by Console/_SNES/Illusion of Gaia.mgl,38de0c84dd2bc3bdfc0a3d7ab0220c79b70887c3,
